Detector_type, Descriptor_type, ImgNumber, TTC_Lidar, TTC_Camera
SHITOMASI, BRISK, 0000, 
SHITOMASI, BRISK, 0001, 12.2891, 13.3689
SHITOMASI, BRISK, 0002, 13.3547, 13.0305
SHITOMASI, BRISK, 0003, 16.3845, 12.3202
SHITOMASI, BRISK, 0004, 14.0764, 12.7521
SHITOMASI, BRISK, 0005, 12.7299, 12.2747
SHITOMASI, BRISK, 0006, 13.7511, 13.7449
SHITOMASI, BRISK, 0007, 13.7314, 12.9
SHITOMASI, BRISK, 0008, 13.7901, 12.6218
SHITOMASI, BRISK, 0009, 12.059, 11.4559
SHITOMASI, BRISK, 0010, 11.8642, 12.7376
SHITOMASI, BRISK, 0011, 11.9682, 11.4265
SHITOMASI, BRISK, 0012, 9.88711, 11.7285
SHITOMASI, BRISK, 0013, 9.42504, 12.6532
SHITOMASI, BRISK, 0014, 9.30215, 11.8116
SHITOMASI, BRISK, 0015, 8.3212, 9.38674
SHITOMASI, BRISK, 0016, 8.89867, 11.1041
SHITOMASI, BRISK, 0017, 11.0301, 11.7264
SHITOMASI, BRISK, 0018, 8.53557, 9.87409

SHITOMASI, BRIEF, 0000, 
SHITOMASI, BRIEF, 0001, 12.2891, 13.7746
SHITOMASI, BRIEF, 0002, 13.3547, 13.308
SHITOMASI, BRIEF, 0003, 16.3845, 11.3769
SHITOMASI, BRIEF, 0004, 14.0764, 13.0851
SHITOMASI, BRIEF, 0005, 12.7299, 12.3342
SHITOMASI, BRIEF, 0006, 13.7511, 13.0781
SHITOMASI, BRIEF, 0007, 13.7314, 14.6347
SHITOMASI, BRIEF, 0008, 13.7901, 11.7556
SHITOMASI, BRIEF, 0009, 12.059, 11.4926
SHITOMASI, BRIEF, 0010, 11.8642, 12.27
SHITOMASI, BRIEF, 0011, 11.9682, 11.7611
SHITOMASI, BRIEF, 0012, 9.88711, 11.3997
SHITOMASI, BRIEF, 0013, 9.42504, 12.2277
SHITOMASI, BRIEF, 0014, 9.30215, 11.0014
SHITOMASI, BRIEF, 0015, 8.3212, 11.1203
SHITOMASI, BRIEF, 0016, 8.89867, 12.1848
SHITOMASI, BRIEF, 0017, 11.0301, 10.571
SHITOMASI, BRIEF, 0018, 8.53557, 9.47889

SHITOMASI, ORB, 0000, 
SHITOMASI, ORB, 0001, 12.2891, 13.603
