detectorType,descriptorType,TTC Lidar,TTC Camera,Difference
HARRIS,BRISK,16.689386,16.55913,0.130256
HARRIS,BRIEF,16.689386,16.55913,0.130256
HARRIS,ORB,16.689386,16.55913,0.130256
HARRIS,FREAK,16.689386,16.55913,0.130256
FAST,BRISK,16.689386,16.55913,0.130256
FAST,BRIEF,16.689386,16.55913,0.130256
FAST,ORB,16.689386,16.55913,0.130256
FAST,FREAK,16.689386,16.55913,0.130256
BRISK,BRISK,16.689386,16.55913,0.130256
BRISK,BRIEF,16.689386,16.55913,0.130256
BRISK,ORB,16.689386,16.55913,0.130256
BRISK,FREAK,16.689386,16.55913,0.130256
ORB,BRISK,16.689386,16.55913,0.130256
ORB,BRIEF,16.689386,16.55913,0.130256
ORB,ORB,16.689386,16.55913,0.130256
ORB,FREAK,16.689386,16.55913,0.130256
SIFT,BRISK,16.689386,16.55913,0.130256
SIFT,BRIEF,16.689386,16.55913,0.130256
SIFT,ORB,16.689386,16.55913,0.130256
SIFT,FREAK,16.689386,16.55913,0.130256
SHITOMASI,BRISK,16.689386,16.55913,0.130256
SHITOMASI,BRIEF,16.689386,16.55913,0.130256
SHITOMASI,ORB,16.689386,16.55913,0.130256
SHITOMASI,FREAK,16.689386,16.55913,0.130256
AKAZE,AKAZE,16.689386,16.55913,0.130256
HARRIS,BRISK,9.546581,9.706159,0.159578
HARRIS,BRIEF,9.546581,9.706159,0.159578
HARRIS,ORB,9.546581,9.706159,0.159578
HARRIS,FREAK,9.546581,9.706159,0.159578
FAST,BRISK,9.546581,9.706159,0.159578
FAST,BRIEF,9.546581,9.706159,0.159578
FAST,ORB,9.546581,9.706159,0.159578
FAST,FREAK,9.546581,9.706159,0.159578
BRISK,BRISK,9.546581,9.706159,0.159578
BRISK,BRIEF,9.546581,9.706159,0.159578
BRISK,ORB,9.546581,9.706159,0.159578
BRISK,FREAK,9.546581,9.706159,0.159578
ORB,BRISK,9.546581,9.706159,0.159578
ORB,BRIEF,9.546581,9.706159,0.159578
ORB,ORB,9.546581,9.706159,0.159578
ORB,FREAK,9.546581,9.706159,0.159578
SIFT,BRISK,9.546581,9.706159,0.159578
SIFT,BRIEF,9.546581,9.706159,0.159578
SIFT,ORB,9.546581,9.706159,0.159578
SIFT,FREAK,9.546581,9.706159,0.159578
SHITOMASI,BRISK,9.546581,9.706159,0.159578
SHITOMASI,BRIEF,9.546581,9.706159,0.159578
SHITOMASI,ORB,9.546581,9.706159,0.159578
SHITOMASI,FREAK,9.546581,9.706159,0.159578
AKAZE,AKAZE,9.546581,9.706159,0.159578
HARRIS,BRISK,12.808601,12.990854,0.182253
HARRIS,BRIEF,12.808601,12.990854,0.182253
HARRIS,ORB,12.808601,12.990854,0.182253
HARRIS,FREAK,12.808601,12.990854,0.182253
FAST,BRISK,12.808601,12.990854,0.182253
FAST,BRIEF,12.808601,12.990854,0.182253
FAST,ORB,12.808601,12.990854,0.182253
FAST,FREAK,12.808601,12.990854,0.182253
BRISK,BRISK,12.808601,12.990854,0.182253
BRISK,BRIEF,12.808601,12.990854,0.182253
BRISK,ORB,12.808601,12.990854,0.182253
BRISK,FREAK,12.808601,12.990854,0.182253
ORB,BRISK,12.808601,12.990854,0.182253
ORB,BRIEF,12.808601,12.990854,0.182253
ORB,ORB,12.808601,12.990854,0.182253
ORB,FREAK,12.808601,12.990854,0.182253
SIFT,BRISK,12.808601,12.990854,0.182253
SIFT,BRIEF,12.808601,12.990854,0.182253
SIFT,ORB,12.808601,12.990854,0.182253
SIFT,FREAK,12.808601,12.990854,0.182253
SHITOMASI,BRISK,12.808601,12.990854,0.182253
SHITOMASI,BRIEF,12.808601,12.990854,0.182253
SHITOMASI,ORB,12.808601,12.990854,0.182253
SHITOMASI,FREAK,12.808601,12.990854,0.182253
AKAZE,AKAZE,12.808601,12.990854,0.182253
HARRIS,BRISK,9.51617,10.520631,1.004461
HARRIS,BRIEF,9.51617,10.520631,1.004461
HARRIS,ORB,9.51617,10.520631,1.004461
HARRIS,FREAK,9.51617,10.520631,1.004461
FAST,BRISK,9.51617,10.520631,1.004461
FAST,BRIEF,9.51617,10.520631,1.004461
FAST,ORB,9.51617,10.520631,1.004461
FAST,FREAK,9.51617,10.520631,1.004461
BRISK,BRISK,9.51617,10.520631,1.004461
BRISK,BRIEF,9.51617,10.520631,1.004461
BRISK,ORB,9.51617,10.520631,1.004461
BRISK,FREAK,9.51617,10.520631,1.004461
ORB,BRISK,9.51617,10.520631,1.004461
ORB,BRIEF,9.51617,10.520631,1.004461
ORB,ORB,9.51617,10.520631,1.004461
ORB,FREAK,9.51617,10.520631,1.004461
SIFT,BRISK,9.51617,10.520631,1.004461
SIFT,BRIEF,9.51617,10.520631,1.004461
SIFT,ORB,9.51617,10.520631,1.004461
SIFT,FREAK,9.51617,10.520631,1.004461
SHITOMASI,BRISK,9.51617,10.520631,1.004461
SHITOMASI,BRIEF,9.51617,10.520631,1.004461
SHITOMASI,ORB,9.51617,10.520631,1.004461
SHITOMASI,FREAK,9.51617,10.520631,1.004461
AKAZE,AKAZE,9.51617,10.520631,1.004461
HARRIS,BRISK,13.024118,14.797006,1.772888
HARRIS,BRIEF,13.024118,14.797006,1.772888
HARRIS,ORB,13.024118,14.797006,1.772888
HARRIS,FREAK,13.024118,14.797006,1.772888
FAST,BRISK,13.024118,14.797006,1.772888
FAST,BRIEF,13.024118,14.797006,1.772888
FAST,ORB,13.024118,14.797006,1.772888
FAST,FREAK,13.024118,14.797006,1.772888
BRISK,BRISK,13.024118,14.797006,1.772888
BRISK,BRIEF,13.024118,14.797006,1.772888
BRISK,ORB,13.024118,14.797006,1.772888
BRISK,FREAK,13.024118,14.797006,1.772888
ORB,BRISK,13.024118,14.797006,1.772888
ORB,BRIEF,13.024118,14.797006,1.772888
ORB,ORB,13.024118,14.797006,1.772888
ORB,FREAK,13.024118,14.797006,1.772888
SIFT,BRISK,13.024118,14.797006,1.772888
SIFT,BRIEF,13.024118,14.797006,1.772888
SIFT,ORB,13.024118,14.797006,1.772888
SIFT,FREAK,13.024118,14.797006,1.772888
SHITOMASI,BRISK,13.024118,14.797006,1.772888
SHITOMASI,BRIEF,13.024118,14.797006,1.772888
SHITOMASI,ORB,13.024118,14.797006,1.772888
SHITOMASI,FREAK,13.024118,14.797006,1.772888
AKAZE,AKAZE,13.024118,14.797006,1.772888
HARRIS,BRISK,14.091013,12.23655,1.854463
HARRIS,BRIEF,14.091013,12.23655,1.854463
HARRIS,ORB,14.091013,12.23655,1.854463
HARRIS,FREAK,14.091013,12.23655,1.854463
FAST,BRISK,14.091013,12.23655,1.854463
FAST,BRIEF,14.091013,12.23655,1.854463
FAST,ORB,14.091013,12.23655,1.854463
FAST,FREAK,14.091013,12.23655,1.854463
BRISK,BRISK,14.091013,12.23655,1.854463
BRISK,BRIEF,14.091013,12.23655,1.854463
BRISK,ORB,14.091013,12.23655,1.854463
BRISK,FREAK,14.091013,12.23655,1.854463
ORB,BRISK,14.091013,12.23655,1.854463
ORB,BRIEF,14.091013,12.23655,1.854463
ORB,ORB,14.091013,12.23655,1.854463
ORB,FREAK,14.091013,12.23655,1.854463
SIFT,BRISK,14.091013,12.23655,1.854463
SIFT,BRIEF,14.091013,12.23655,1.854463
SIFT,ORB,14.091013,12.23655,1.854463
SIFT,FREAK,14.091013,12.23655,1.854463
SHITOMASI,BRISK,14.091013,12.23655,1.854463
SHITOMASI,BRIEF,14.091013,12.23655,1.854463
SHITOMASI,ORB,14.091013,12.23655,1.854463
SHITOMASI,FREAK,14.091013,12.23655,1.854463
AKAZE,AKAZE,14.091013,12.23655,1.854463
HARRIS,BRISK,9.535068,11.511387,1.976319
HARRIS,BRIEF,9.535068,11.511387,1.976319
HARRIS,ORB,9.535068,11.511387,1.976319
HARRIS,FREAK,9.535068,11.511387,1.976319
FAST,BRISK,9.535068,11.511387,1.976319
FAST,BRIEF,9.535068,11.511387,1.976319
FAST,ORB,9.535068,11.511387,1.976319
FAST,FREAK,9.535068,11.511387,1.976319
BRISK,BRISK,9.535068,11.511387,1.976319
BRISK,BRIEF,9.535068,11.511387,1.976319
BRISK,ORB,9.535068,11.511387,1.976319
BRISK,FREAK,9.535068,11.511387,1.976319
ORB,BRISK,9.535068,11.511387,1.976319
ORB,BRIEF,9.535068,11.511387,1.976319
ORB,ORB,9.535068,11.511387,1.976319
ORB,FREAK,9.535068,11.511387,1.976319
SIFT,BRISK,9.535068,11.511387,1.976319
SIFT,BRIEF,9.535068,11.511387,1.976319
SIFT,ORB,9.535068,11.511387,1.976319
SIFT,FREAK,9.535068,11.511387,1.976319
SHITOMASI,BRISK,9.535068,11.511387,1.976319
SHITOMASI,BRIEF,9.535068,11.511387,1.976319
SHITOMASI,ORB,9.535068,11.511387,1.976319
SHITOMASI,FREAK,9.535068,11.511387,1.976319
AKAZE,AKAZE,9.535068,11.511387,1.976319
HARRIS,BRISK,12.5156,14.839221,2.323621
HARRIS,BRIEF,12.5156,14.839221,2.323621
HARRIS,ORB,12.5156,14.839221,2.323621
HARRIS,FREAK,12.5156,14.839221,2.323621
FAST,BRISK,12.5156,14.839221,2.323621
FAST,BRIEF,12.5156,14.839221,2.323621
FAST,ORB,12.5156,14.839221,2.323621
FAST,FREAK,12.5156,14.839221,2.323621
BRISK,BRISK,12.5156,14.839221,2.323621
BRISK,BRIEF,12.5156,14.839221,2.323621
BRISK,ORB,12.5156,14.839221,2.323621
BRISK,FREAK,12.5156,14.839221,2.323621
ORB,BRISK,12.5156,14.839221,2.323621
ORB,BRIEF,12.5156,14.839221,2.323621
ORB,ORB,12.5156,14.839221,2.323621
ORB,FREAK,12.5156,14.839221,2.323621
SIFT,BRISK,12.5156,14.839221,2.323621
SIFT,BRIEF,12.5156,14.839221,2.323621
SIFT,ORB,12.5156,14.839221,2.323621
SIFT,FREAK,12.5156,14.839221,2.323621
